'aute	s_ w t e
pulgadas	p u l g ˈa ð a s
puliendo	p u l j ˈe n d o
pulir	p u l ˈi ɾ
pulmones	p u l m ˈo n e s
pulso	p ˈu l s o
pumprick	p u m p ɾ i k
puntas	p ˈu n t a s
puntilla	p u n t ˈi ʝ a
puntillas	p u n t ˈi ʝ a s
puntos	p ˈu n t o s
puntuaciones	p u n t w a θ j ˈo n e s
puntuación	p u n t w a θ j ˈo n
puntual	p u n t w ˈa l
puntualidad	p u n t w a l i ð ˈa d
puntualizó	p u n t w a l i θ ˈo
puro	p ˈu ɾ o
pusieron	p u s j ˈe ɾ o n
pusimos	p u s ˈi m o s
pusiéramos	p u s j ˈe ɾ a m o s
puso	p ˈu s o
pymes	p ˈi m e s
página	p ˈa x i n a
páguele	p ˈa ɣ w e l e
pájaro	p ˈa x a ɾ o
pálida	p ˈa l i ð a
pánico	p ˈa n i k o
párrocos	p ˈa r o k o s
pérdida	p ˈe ɾ d i ð a
pérdidas	p ˈe ɾ d i ð a s
pésima	p ˈe s i m a
píldoras	p ˈi l d o ɾ a s
póliza	p ˈo l i θ a
pública	p ˈu β l i k a
públicas	p ˈu β l i k a s
público	p ˈu β l i k o
públicos	p ˈu β l i k o s
púdrete	p ˈu ð ɾ ˈe t e
púnica	p ˈu n i k a
qr	k
que	k e
quebradero	k e β ɾ a ð ˈe ɾ o
quebrantar	k e β ɾ a n t ˈa ɾ
queda	k ˈe ð a
quedaba	k e ð ˈa β a
quedado	k e ð ˈa ð o
quedamos	k e ð ˈa m o s
quedan	k ˈe ð a n
quedando	k e ð ˈa n d o
quedar	k e ð ˈa ɾ
quedara	k e ð ˈa ɾ a
quedarle	k e ð ˈa ɾ l e
quedarme	k e ð ˈa ɾ m e
quedarnos	k e ð ˈa ɾ n o s
quedarse	k e ð ˈa ɾ s e
quedará	k e ð a ɾ ˈa
quedarán	k e ð a ɾ ˈa n
quedarás	k e ð a ɾ ˈa s
quedaré	k e ð a ɾ ˈe
quedaría	k e ð a ɾ ˈi a
quedas	k ˈe ð a s
quedaste	k e ð ˈa s t e
queden	k ˈe ð e n
quedo	k ˈe ð o
quedé	k e ð ˈe
quedó	k e ð ˈo
queja	k ˈe x a
quemado	k e m ˈa ð o
quemarlas	k e m ˈa ɾ l a s
queramos	k e ɾ ˈa m o s
queremos	k e ɾ ˈe m o s
querer	k e ɾ ˈe ɾ
querido	k e ɾ ˈi ð o
querremos	k e r ˈe m o s
querrá	k e r ˈa
querrán	k e r ˈa n
querrás	k e r ˈa s
querría	k e r ˈi a
queréis	k e ɾ ˈe j s
quería	k e ɾ ˈi a
queríamos	k e ɾ ˈi a m o s
querían	k e ɾ ˈi a n
querías	k e ɾ ˈi a s
quesos	k ˈe s o s
quicio	k ˈi θ j o
quien	k j e n
quienes	k j e n e s
quienquiera	k j e n k j ˈe ɾ a
quiera	k j ˈe ɾ a
quieran	k j ˈe ɾ a n
quieras	k j ˈe ɾ a s
quiere	k j ˈe ɾ e
quieren	k j ˈe ɾ e n
quieres	k j ˈe ɾ e s
quiero	k j ˈe ɾ o
quieta	k j ˈe t a
quim	k ˈi m
quimera	k i m ˈe ɾ a
quinientas	k i n j ˈe n t a s
quinientos	k i n j ˈe n t o s
quise	k ˈi s e
quisiera	k i s j ˈe ɾ a
quisimos	k i s ˈi m o s
quiso	k ˈi s o
quita	k ˈi t a
quitado	k i t ˈa ð o
quitar	k i t ˈa ɾ
quitarme	k i t ˈa ɾ m e
quitará	k i t a ɾ ˈa
quitas	k i t a s
quitase	k i t ˈa s e
quites	k ˈi t e s
quité	k i t ˈe
quizá	k i θ ˈa
quizás	k i θ ˈa s
quién	k j ˈe n
qué	k ˈe
quédate	k ˈe ð a t e
química	k ˈi m i k a
químicos	k ˈi m i k o s
quítate	k ˈi t a t e
quítese	k ˈi t e s e
raciales	r a θ j ˈa l e s
raciones	r a θ j ˈo n e s
radicales	r a ð i k ˈa l e s
radicalmente	r a ð i k ˈa l m ˈe n t e
radioactividad	r a ð j o a k t i β i ð ˈa d
raleas	r a l ˈe a s
ramón	r a m ˈo n
ranchos	r ˈa n ʧ o s
rango	r ˈa n g o
rapaces	r a p ˈa θ e s
rapidez	r a p i ð ˈe θ
raptado	r a p t ˈa ð o
rara	r ˈa ɾ a
raro	r ˈa ɾ o
raros	r ˈa ɾ o s
rasgos	r ˈa s g o s
rastras	r ˈa s t ɾ a s
rastro	r ˈa s t ɾ o
rastros	r ˈa s t ɾ o s
ratito	r a t ˈi t o
rato	r ˈa t o
ratos	r ˈa t o s
ratón	r a t ˈo n
rayas	r ˈa ʝ a s
razas	r ˈa θ a s
razinin	r a θ ˈi n i n
razonable	r a θ o n ˈa β l e
razones	r a θ ˈo n e s
razón	r a θ ˈo n
reabrir	r e a β ɾ ˈi ɾ
reaccionó	r e a k θ j o n ˈo
reacción	r e a k θ j ˈo n
reales	r e ˈa l e s
realidad	r e a l i ð ˈa d
realidades	r e a l i ð ˈa ð e s
realista	r e a l ˈi s t a
realistas	r e a l ˈi s t a s
realiza	r e a l ˈi θ a
realizada	r e a l i θ ˈa ð a
realizado	r e a l i θ ˈa ð o
realizar	r e a l i θ ˈa ɾ
realizará	r e a l i θ a ɾ ˈa
realizó	r e a l i θ ˈo
realmente	r e ˈa l m ˈe n t e
reanimación	r e a n i m a θ j ˈo n
reanudación	r e a n u ð a θ j ˈo n
reanudará	r e a n u ð a ɾ ˈa
reapertura	r e a p e ɾ t ˈu ɾ a
rebajas	r e β ˈa x a s
rebaje	r e β ˈa x e
rebaños	r e β ˈa ɲ o s
rebeca	r e β ˈe k a
rebosante	r e β o s ˈa n t e
rebote	r e β ˈo t e
rebuscar	r e β u s k ˈa ɾ
recarga	r e k ˈa ɾ g a
recepcionista	r e θ e p θ j o n ˈi s t a
recepción	r e θ e p θ j ˈo n
recesión	r e θ e s j ˈo n
receta	r e θ ˈe t a
rechazado	r e ʧ a θ ˈa ð o
rechazar	r e ʧ a θ ˈa ɾ
rechazó	r e ʧ a θ ˈo
reciban	r e θ ˈi β a n
recibe	r e θ ˈi β e
recibida	r e θ i β ˈi ð a
recibidas	r e θ i β ˈi ð a s
recibido	r e θ i β ˈi ð o
recibieron	r e θ i β j ˈe ɾ o n
recibir	r e θ i β ˈi ɾ
recibirla	r e θ i β ˈi ɾ l a
recibirle	r e θ i β ˈi ɾ l e
recibirlos	r e θ i β ˈi ɾ l o s
recibirán	r e θ i β i ɾ ˈa n
recibirás	r e θ i β i ɾ ˈa s
recibo	r e θ ˈi β o
reciclaje	r e θ i k l ˈa x e
reciente	r e θ j ˈe n t e
recientemente	r e θ j ˈe n t e m ˈe n t e
recientes	r e θ j ˈe n t e s
recitando	r e θ i t ˈa n d o
recién	r e θ j ˈe n
reclamaciones	r e k l a m a θ j ˈo n e s
reclamación	r e k l a m a θ j ˈo n
reclamado	r e k l a m ˈa ð o
reclaman	r e k l ˈa m a n
reclamo	r e k l ˈa m o
recoge	r e k ˈo x e
recogerlas	r e k o x ˈe ɾ l a s
recogeré	r e k o x e ɾ ˈe
recogiendo	r e k o x j ˈe n d o
recogimiento	r e k o x i m j ˈe n t o
recolectado	r e k o l e k t ˈa ð o
recoletos	r e k o l ˈe t o s
recomendable	r e k o m e n d ˈa β l e
recomendación	r e k o m e n d a θ j ˈo n
recomendada	r e k o m e n d ˈa ð a
recomendado	r e k o m e n d ˈa ð o
recomendamos	r e k o m e n d ˈa m o s
recomendar	r e k o m e n d ˈa ɾ
recomendará	r e k o m e n d a ɾ ˈa
recomendaría	r e k o m e n d a ɾ ˈi a
recomienda	r e k o m j ˈe n d a
recomiendan	r e k o m j ˈe n d a n
recomiendo	r e k o m j ˈe n d o
recompensa	r e k o m p ˈe n s a
recompensada	r e k o m p e n s ˈa ð a
reconciliación	r e k o n θ i l j a θ j ˈo n
reconexión	r e k o n e k s j ˈo n
reconoce	r e k o n ˈo θ e
reconocen	r e k o n ˈo θ e n
reconocer	r e k o n o θ ˈe ɾ
reconocerte	r e k o n o θ ˈe ɾ t e
reconocido	r e k o n o θ ˈi ð o
reconocidos	r e k o n o θ ˈi ð o s
reconoció	r e k o n o θ j ˈo
reconozco	r e k o n ˈo θ k o
reconvertidas	r e k o m b e ɾ t ˈi ð a s
recopilación	r e k o p i l a θ j ˈo n
recopilando	r e k o p i l ˈa n d o
recordado	r e k o ɾ d ˈa ð o
recordamos	r e k o ɾ d ˈa m o s
recordar	r e k o ɾ d ˈa ɾ
recordarles	r e k o ɾ d ˈa ɾ l e s
recordarme	r e k o ɾ d ˈa ɾ m e
recordatorio	r e k o ɾ d a t ˈo ɾ j o
recordándole	r e k o ɾ d ˈa n d o l e
recordé	r e k o ɾ d ˈe
recordó	r e k o ɾ d ˈo
recorre	r e k ˈo r e
recorrido	r e k o r ˈi ð o
recorro	r e k ˈo r o
recortarla	r e k o ɾ t ˈa ɾ l a
recreaciones	r e k ɾ e a θ j ˈo n e s
recrearlo	r e k ɾ e ˈa ɾ l o
rectifica	r e k t i f ˈi k a
recto	r ˈe k t o
recuerda	r e k w ˈe ɾ d a
recuerdan	r e k w ˈe ɾ d a n
recuerdas	r e k w ˈe ɾ d a s
recuerde	r e k w ˈe ɾ d e
recuerdes	r e k w ˈe ɾ d e s
recuerdo	r e k w ˈe ɾ d o
recuerdos	r e k w ˈe ɾ d o s
recupera	r e k u p ˈe ɾ a
recuperable	r e k u p e ɾ ˈa β l e
recuperación	r e k u p e ɾ a θ j ˈo n
recuperado	r e k u p e ɾ ˈa ð o
recuperando	r e k u p e ɾ ˈa n d o
recuperar	r e k u p e ɾ ˈa ɾ
recurrentes	r e k u r ˈe n t e s
recurrir	r e k u r ˈi ɾ
recursos	r e k ˈu ɾ s o s
recuérdame	r e k w ˈe ɾ d a m e
red	r ˈe d
redada	r e ð ˈa ð a
redes	r ˈe ð e s
reducciones	r e ð u k θ j ˈo n e s
reduccionista	r e ð ˈu k θ j o n ˈi s t a
reducción	r e ð u k θ j ˈo n
reducida	r e ð u θ ˈi ð a
reducido	r e ð u θ ˈi ð o
reducir	r e ð u θ ˈi ɾ
reducirá	r e ð u θ i ɾ ˈa
ree	r ˈe e
reembolso	r e e m b ˈo l s o
reembolsos	r e e m b ˈo l s o s
refacciones	r e f a k θ j ˈo n e s
referencia	r e f e ɾ ˈe n θ j a
referencias	r e f e ɾ ˈe n θ j a s
referente	r e f e ɾ ˈe n t e
referentes	r e f e ɾ ˈe n t e s
referéndum	r e f e ɾ ˈe n d u m
refería	r e f e ɾ ˈi a
refiere	r e f j ˈe ɾ e
refiero	r e f j ˈe ɾ o
refleja	r e f l ˈe x a
reflejada	r e f l e x ˈa ð a
reflejado	r e f l e x ˈa ð o
reflejo	r e f l ˈe x o
reflexiona	r e f l e k s j ˈo n a
reflexión	r e f l e k s j ˈo n
reflujo	r e f l ˈu x o
reformado	r e f o ɾ m ˈa ð o
reformarlo	r e f o ɾ m ˈa ɾ l o
reformas	r e f ˈo ɾ m a s
refregando	r e f ɾ e ɣ ˈa n d o
refrescar	r e f ɾ e s k ˈa ɾ
refrescos	r e f ɾ ˈe s k o s
refrán	r e f ɾ ˈa n
refugiarte	r e f u x j ˈa ɾ t e
refugio	r e f ˈu x j o
refulgía	r e f u l x ˈi a
regalaron	r e ɣ a l ˈa ɾ o n
regalo	r e ɣ ˈa l o
regalos	r e ɣ ˈa l o s
regaló	r e ɣ a l ˈo
regaña	r e ɣ ˈa ɲ a
regiones	r e x j ˈo n e s
registrado	r e x i s t ɾ ˈa ð o
registrados	r e x i s t ɾ ˈa ð o s
registramos	r e x i s t ɾ ˈa m o s
registran	r e x ˈi s t ɾ a n
registro	r e x ˈi s t ɾ o
registros	r e x ˈi s t ɾ o s
región	r e x j ˈo n
regla	r ˈe ɣ l a
reglamentación	r e ɣ l a m e n t a θ j ˈo n
reglas	r ˈe ɣ l a s
regresa	r e ɣ ɾ ˈe s a
regresan	r e ɣ ɾ ˈe s a n
regresar	r e ɣ ɾ e s ˈa ɾ
regresas	r e ɣ ɾ ˈe s a s
regrese	r e ɣ ɾ ˈe s e
regresen	r e ɣ ɾ ˈe s e n
regreso	r e ɣ ɾ ˈe s o
reguladores	r e ɣ u l a ð ˈo ɾ e s
regularlo	r e ɣ u l ˈa ɾ l o
regularmente	r e ɣ u l ˈa ɾ m ˈe n t e
regulo	r e ɣ ˈu l o
rehabilitación	r e a β i l i t a θ j ˈo n
rehagamos	r e a ɣ ˈa m o s
reinado	r e j n ˈa ð o
reinas	r ˈe j n a s
reinen	r e j n e n
reino	r ˈe j n o
reinterpretar	r e j n t e ɾ p ɾ e t ˈa ɾ
reitera	r e j t ˈe ɾ a
reiteramos	r e j t e ɾ ˈa m o s
reja	r ˈe x a
relacionada	r e l a θ j o n ˈa ð a
relacionadas	r e l a θ j o n ˈa ð a s
relacionado	r e l a θ j o n ˈa ð o
relacionados	r e l a θ j o n ˈa ð o s
relacionar	r e l a θ j o n ˈa ɾ
relaciones	r e l a θ j ˈo n e s
relación	r e l a θ j ˈo n
relajado	r e l a x ˈa ð o
relajantes	r e l a x ˈa n t e s
relajarte	r e l a x ˈa ɾ t e
relativa	r e l a t ˈi β a
relativamente	r e l a t ˈi β a m ˈe n t e
relativo	r e l a t ˈi β o
relato	r e l ˈa t o
relectura	r e l e k t ˈu ɾ a
relevancia	r e l e β ˈa n θ j a
relevo	r e l ˈe β o
religiosos	r e l i x j ˈo s o s
religión	r e l i x j ˈo n
reliquias	r e l ˈi k j a s
rellenar	r e ʝ e n ˈa ɾ
reloj	r e l ˈo x
relojes	r e l ˈo x e s
relájese	r e l ˈa x e s e
remar	r e m ˈa ɾ
remates	r e m ˈa t e s
remediarlo	r e m e ð j ˈa ɾ l o
remedio	r e m ˈe ð j o
remite	r e m ˈi t e
remodelación	r e m o ð e l a θ j ˈo n
remolinos	r e m o l ˈi n o s
remos	r ˈe m o s
remota	r e m ˈo t a
remotas	r e m ˈo t a s
remoto	r e m ˈo t o
ren	r e n
rencores	r e n k ˈo ɾ e s
rendirse	r e n d ˈi ɾ s e
renovación	r e n o β a θ j ˈo n
renovado	r e n o β ˈa ð o
renovar	r e n o β ˈa ɾ
renovó	r e n o β ˈo
rentabilidad	r e n t a β i l i ð ˈa d
renuevan	r e n w ˈe β a n
renunciar	r e n u n θ j ˈa ɾ
reorganizar	r e o ɾ g a n i θ ˈa ɾ
reparando	r e p a ɾ ˈa n d o
repartidas	r e p a ɾ t ˈi ð a s
repartimos	r e p a ɾ t ˈi m o s
repente	r e p ˈe n t e
repentino	r e p e n t ˈi n o
repetición	r e p e t i θ j ˈo n
repetido	r e p e t ˈi ð o
repetimos	r e p e t ˈi m o s
repetir	r e p e t ˈi ɾ
repetiré	r e p e t i ɾ ˈe
repisa	r e p ˈi s a
repitas	r e p ˈi t a s
repiten	r e p ˈi t e n
repites	r e p ˈi t e s
repleta	r e p l ˈe t a
reportado	r e p o ɾ t ˈa ð o
reportar	r e p o ɾ t ˈa ɾ
reporte	r e p ˈo ɾ t e
reportero	r e p o ɾ t ˈe ɾ o
reposicionamiento	r e p o s i θ j o n a m j ˈe n t o
representa	r e p ɾ e s ˈe n t a
representaban	r e p ɾ e s e n t ˈa β a n
representación	r e p ɾ e s e n t a θ j ˈo n
representada	r e p ɾ e s e n t ˈa ð a
representadas	r e p ɾ e s e n t ˈa ð a s
representado	r e p ɾ e s e n t ˈa ð o
representan	r e p ɾ e s ˈe n t a n
representando	r e p ɾ e s e n t ˈa n d o
representantes	r e p ɾ e s e n t ˈa n t e s
representar	r e p ɾ e s e n t ˈa ɾ
representativas	r e p ɾ e s e n t a t ˈi β a s
representó	r e p ɾ e s e n t ˈo
reprocha	r e p ɾ ˈo ʧ a
reproducciones	r e p ɾ o ð u k θ j ˈo n e s
reproducción	r e p ɾ o ð u k θ j ˈo n
reproducido	r e p ɾ o ð u θ ˈi ð o
reproduciendo	r e p ɾ o ð u θ j ˈe n d o
reproducir	r e p ɾ o ð u θ ˈi ɾ
republicano	r e p u β l i k ˈa n o
repuesto	r e p w ˈe s t o
repunte	r e p ˈu n t e
reputación	r e p u t a θ j ˈo n
reputados	r e p u t ˈa ð o s
república	r e p ˈu β l i k a
requerimientos	r e k e ɾ i m j ˈe n t o s
requerirá	r e k e ɾ i ɾ ˈa
requiere	r e k j ˈe ɾ e
resaltando	r e s a l t ˈa n d o
rescataron	r e s k a t ˈa ɾ o n
rescate	r e s k ˈa t e
resentimiento	r e s e n t i m j ˈe n t o
reserva	r e s ˈe ɾ b a
reservadas	r e s e ɾ b ˈa ð a s
reservar	r e s e ɾ b ˈa ɾ
reservarla	r e s e ɾ b ˈa ɾ l a
resfriado	r e s f ɾ j ˈa ð o
resguardo	r e s g w ˈa ɾ d o
residencia	r e s i ð ˈe n θ j a
residentes	r e s i ð ˈe n t e s
residir	r e s i ð ˈi ɾ
resistencia	r e s i s t ˈe n θ j a
resistirse	r e s i s t ˈi ɾ s e
resolución	r e s o l u θ j ˈo n
respaldo	r e s p ˈa l d o
respecta	r e s p ˈe k t a
respectivas	r e s p e k t ˈi β a s
respecto	r e s p ˈe k t o
respetar	r e s p e t ˈa ɾ
respeto	r e s p ˈe t o
respirador	r e s p i ɾ a ð ˈo ɾ
resplandor	r e s p l a n d ˈo ɾ
responde	r e s p ˈo n d e
responden	r e s p ˈo n d e n
responderla	r e s p o n d ˈe ɾ l a
respondieron	r e s p o n d j ˈe ɾ o n
responsabilidad	r e s p o n s a β i l i ð ˈa d
responsabilidades	r e s p o n s a β i l i ð ˈa ð e s
responsable	r e s p o n s ˈa β l e
responsables	r e s p o n s ˈa β l e s
respuesta	r e s p w ˈe s t a
respuestas	r e s p w ˈe s t a s
restablecer	r e s t a β l e θ ˈe ɾ
restauración	r e s t a w ɾ a θ j ˈo n
restaurada	r e s t a w ɾ ˈa ð a
restaurado	r e s t a w ɾ ˈa ð o
restaurados	r e s t a w ɾ ˈa ð o s
restaurante	r e s t a w ɾ ˈa n t e
restaurantes	r e s t a w ɾ ˈa n t e s
restos	r ˈe s t o s
restricciones	r e s t ɾ i k θ j ˈo n e s
resuelto	r e s w ˈe l t o
resuelven	r e s w ˈe l b e n
resuena	r e s w ˈe n a
resulta	r e s ˈu l t a
resultado	r e s u l t ˈa ð o
resultados	r e s u l t ˈa ð o s
resultan	r e s ˈu l t a n
resultará	r e s u l t a ɾ ˈa
resulte	r e s ˈu l t e
resultó	r e s u l t ˈo
resurgir	r e s u ɾ x ˈi ɾ
resurrección	r e s u r e k θ j ˈo n
retenerse	r e t e n ˈe ɾ s e
retirada	r e t i ɾ ˈa ð a
retirado	r e t i ɾ ˈa ð o
retiro	r e t ˈi ɾ o
retorció	r e t o ɾ θ j ˈo
retrasado	r e t ɾ a s ˈa ð o
retrasados	r e t ɾ a s ˈa ð o s
retribuido	r e t ɾ i β w ˈi ð o
retributivos	r e t ɾ i β u t ˈi β o s
retrovisores	r e t ɾ o β i s ˈo ɾ e s
retírate	r e t ˈi ɾ a t e
reunidas	r e w n ˈi ð a s
reuniones	r e w n j ˈo n e s
reunirá	r e w n i ɾ ˈa
reunión	r e w n j ˈo n
revelado	r e β e l ˈa ð o
reveladoras	r e β e l a ð ˈo ɾ a s
revelar	r e β e l ˈa ɾ
revelará	r e β e l a ɾ ˈa
reventar	r e β e n t ˈa ɾ
revienten	r e β j ˈe n t e n
revisando	r e β i s ˈa n d o
revisar	r e β i s ˈa ɾ
revisarlo	r e β i s ˈa ɾ l o
revisiones	r e β i s j ˈo n e s
revisitar	r e β i s i t ˈa ɾ
revista	r e β ˈi s t a
revistas	r e β ˈi s t a s
revolución	r e β o l u θ j ˈo n
revuelta	r e β w ˈe l t a
revuelto	r e β w ˈe l t o
revés	r e β ˈe s
rey	r ˈe j
rezongan	r e θ o n g a n
reír	r e ˈi ɾ
reírse	r e ˈi ɾ s e
reñir	r e ɲ ˈi ɾ
reúne	r e ˈu n e
ricas	r ˈi k a s
ricos	r ˈi k o s
ridículo	r i ð ˈi k u l o
riesgo	r j ˈe s g o
riesgos	r j ˈe s g o s
rigen	r ˈi x e n
rigores	r i ɣ ˈo ɾ e s
riguroso	r i ɣ u ɾ ˈo s o
rinconcito	r i n k o n θ ˈi t o
rincones	r i n k ˈo n e s
rincón	r i n k ˈo n
rinde	r ˈi n d e
riquísimo	r i k ˈi s i m o
ritmo	r ˈi t m o
rob	r ˈo b
roba	r ˈo β a
robados	r o β ˈa ð o s
roban	r ˈo β a n
robando	r o β ˈa n d o
robarle	r o β ˈa ɾ l e
robarte	r o β ˈa ɾ t e
robas	r o β a s
robó	r o β ˈo
rocas	r ˈo k a s
rociadores	r o θ j a ð ˈo ɾ e s
rococó	r o k o k ˈo
rocoso	r o k ˈo s o
rodado	r o ð ˈa ð o
rodaje	r o ð ˈa x e
rodar	r o ð ˈa ɾ
rodea	r o ð ˈe a
rodeaba	r o ð e ˈa β a
rodeada	r o ð e ˈa ð a
rodeado	r o ð e ˈa ð o
rodean	r o ð ˈe a n
roedores	r o e ð ˈo ɾ e s
rogando	r o ɣ ˈa n d o
rogó	r o ɣ ˈo
rojos	r ˈo x o s
romano	r o m ˈa n o
romanos	r o m ˈa n o s
romanticismo	r o m a n t i θ ˈi s m o
romper	r o m p ˈe ɾ
rompió	r o m p j ˈo
rompí	r o m p ˈi
romántico	r o m ˈa n t i k o
rondaba	r o n d ˈa β a
ropa	r ˈo p a
ropas	r ˈo p a s
rosalía	r o s a l ˈi a
roto	r ˈo t o
rotos	r ˈo t o s
rotulaciones	r o t u l a θ j ˈo n e s
rotulador	r o t u l a ð ˈo ɾ
roy	r ˈo j
rubros	r ˈu β ɾ o s
ruedas	r w ˈe ð a s
ruegos	r w ˈe ɣ o s
ruido	r w ˈi ð o
ruidosas	r w i ð ˈo s a s
ruina	r w ˈi n a
ruinas	r w ˈi n a s
rumbo	r ˈu m b o
rumores	r u m ˈo ɾ e s
rupestres	r u p ˈe s t ɾ e s
rusa	r ˈu s a
rusia	r ˈu s j a
rutas	r ˈu t a s
ráfagas	r ˈa f a ɣ a s
rápida	r ˈa p i ð a
rápidamente	r ˈa p i ð a m ˈe n t e
rápidas	r ˈa p i ð a s
rápido	r ˈa p i ð o
rápidos	r ˈa p i ð o s
récord	r ˈe k o ɾ d
ría	r ˈi a
ríes	r ˈi e s
río	r ˈi o
saac	s a ˈa k
sabe	s ˈa β e
sabemos	s a β ˈe m o s
saben	s ˈa β e n
saberlo	s a β ˈe ɾ l o
saberse	s a β ˈe ɾ s e
sabes	s ˈa β e s
sabido	s a β ˈi ð o
sabiendo	s a β j ˈe n d o
sabio	s ˈa β j o
sabor	s a β ˈo ɾ
sabrosa	s a β ɾ ˈo s a
sabrán	s a β ɾ ˈa n
sabrás	s a β ɾ ˈa s
sabré	s a β ɾ ˈe
sabría	s a β ɾ ˈi a
sabéis	s a β ˈe j s
sabía	s a β ˈi a
sabíamos	s a β ˈi a m o s
sabían	s a β ˈi a n
sacado	s a k ˈa ð o
sacar	s a k ˈa ɾ
sacaran	s a k ˈa ɾ a n
sacarle	s a k ˈa ɾ l e
sacarles	s a k ˈa ɾ l e s
sacarse	s a k ˈa ɾ s e
sacaré	s a k a ɾ ˈe
sacerdote	s a θ e ɾ d ˈo t e
sacrificar	s a k ɾ i f i k ˈa ɾ
sacrificarse	s a k ɾ i f i k ˈa ɾ s e
sacrifico	s a k ɾ i f ˈi k o
sacrilegio	s a k ɾ i l ˈe x j o
sacuden	s a k ˈu ð e n
sacó	s a k ˈo
sad	s ˈa d
sal	s ˈa l
salario	s a l ˈa ɾ j o
saldo	s ˈa l d o
saldré	s a l d ɾ ˈe
salen	s ˈa l e n
salga	s ˈa l g a
salgan	s ˈa l g a n
salgas	s ˈa l g a s
salida	s a l ˈi ð a
salidas	s a l ˈi ð a s
salido	s a l ˈi ð o
salientes	s a l j ˈe n t e s
salieron	s a l j ˈe ɾ o n
salir	s a l ˈi ɾ
salió	s a l j ˈo
saltamontes	s a l t a m ˈo n t e s
saltara	s a l t ˈa ɾ a
saltes	s ˈa l t e s
saltó	s a l t ˈo
salud	s a l ˈu d
saluda	s a l ˈu ð a
saludamos	s a l u ð ˈa m o s
saludando	s a l u ð ˈa n d o
salvación	s a l b a θ j ˈo n
salvajes	s a l b ˈa x e s
salvar	s a l b ˈa ɾ
salvoconducto	s a l b o k o n d ˈu k t o
salvoconductos	s a l b o k o n d ˈu k t o s
salvó	s a l b ˈo
salí	s a l ˈi
salón	s a l ˈo n
sanas	s ˈa n a s
sancionado	s a n θ j o n ˈa ð o
sandemans	s a n d e m ˈa n s
sangre	s ˈa n g ɾ e
sanidad	s a n i ð ˈa d
sanitaria	s a n i t ˈa ɾ j a
sanitarias	s a n i t ˈa ɾ j a s
sanitario	s a n i t ˈa ɾ j o
sanitarios	s a n i t ˈa ɾ j o s
sanos	s ˈa n o s
sanysun	s ˈa n i s u n
saque	s ˈa k e
sartén	s a ɾ t ˈe n
satisfacción	s a t i s f a k θ j ˈo n
satisfacernos	s a t i s f a θ ˈe ɾ n o s
satisfactoria	s a t i s f a k t ˈo ɾ j a
satisfactoriamente	s a t i s f a k t ˈo ɾ j a m ˈe n t e
satisfactorio	s a t i s f a k t ˈo ɾ j o
satisfecho	s a t i s f ˈe ʧ o
satisfechos	s a t i s f ˈe ʧ o s
saturadas	s a t u ɾ ˈa ð a s
saturado	s a t u ɾ ˈa ð o
saxonia	s a k s ˈo n j a
se	s e
sea	s ˈe a
seamos	s e ˈa m o s
sebastián	s e β a s t j ˈa n
secaré	s e k a ɾ ˈe
secciones	s e k θ j ˈo n e s
secreta	s e k ɾ ˈe t a
secretaria	s e k ɾ e t ˈa ɾ j a
secretariado	s e k ɾ e t a ɾ j ˈa ð o
secretario	s e k ɾ e t ˈa ɾ j o
secretas	s e k ɾ ˈe t a s
secreto	s e k ɾ ˈe t o
secretos	s e k ɾ ˈe t o s
sectores	s e k t ˈo ɾ e s
secuestrado	s e k w e s t ɾ ˈa ð o
secuestro	s e k w ˈe s t ɾ o
secundaria	s e k u n d ˈa ɾ j a
sede	s ˈe ð e
sedes	s ˈe ð e s
seducción	s e ð u k θ j ˈo n
seducir	s e ð u θ ˈi ɾ
seductores	s e ð u k t ˈo ɾ e s
segmento	s e g m ˈe n t o
seguida	s e ɣ w ˈi ð a
seguidamente	s e ɣ w ˈi ð a m ˈe n t e
seguido	s e ɣ w ˈi ð o
seguidores	s e ɣ w i ð ˈo ɾ e s
seguimos	s e ɣ w ˈi m o s
seguir	s e ɣ w ˈi ɾ
seguirán	s e ɣ w i ɾ ˈa n
seguirás	s e ɣ w i ɾ ˈa s
seguiré	s e ɣ w i ɾ ˈe
seguiría	s e ɣ w i ɾ ˈi a
seguirían	s e ɣ w i ɾ ˈi a n
segunda	s e ɣ ˈu n d a
seguridad	s e ɣ u ɾ i ð ˈa d
seguro	s e ɣ ˈu ɾ o
seguí	s e ɣ w ˈi
seguía	s e ɣ w ˈi a
según	s e ɣ ˈu n
seiscientos	s e j s θ j ˈe n t o s
selecciona	s e l e k θ j ˈo n a
seleccionada	s e l e k θ j o n ˈa ð a
seleccionar	s e l e k θ j o n ˈa ɾ
seleccione	s e l e k θ j ˈo n e
selección	s e l e k θ j ˈo n
sellarán	s e ʝ a ɾ ˈa n
semana	s e m ˈa n a
semanales	s e m a n ˈa l e s
semanas	s e m ˈa n a s
semejante	s e m e x ˈa n t e
semilla	s e m ˈi ʝ a
sencillamente	s e n θ ˈi ʝ a m ˈe n t e
sencillas	s e n θ ˈi ʝ a s
sencillo	s e n θ ˈi ʝ o
sensación	s e n s a θ j ˈo n
sensata	s e n s ˈa t a
sensato	s e n s ˈa t o
sensibilidad	s e n s i β i l i ð ˈa d
sensibles	s e n s ˈi β l e s
sentaba	s e n t ˈa β a
